ref,authors,year,title,venue,doi_or_id,publisher,priority,access,recommended_filename,url
[12],"Lu, Mirza, Schurgers",2010,D-Sync: Doppler-based time synchronization for mobile underwater sensor networks,ACM WUWNet 10 Article 3,10.1145/1868812.1868815,ACM,P0,ACQUIRED,[12]-lu-2010-d-sync.pdf,http://wuwnet.acm.org/2010/papers/006.pdf
[13],"Liu, Wang, Zuba, Peng, Cui, Zhou",2014,DA-Sync: A Doppler-Assisted Time-Synchronization Scheme for Mobile Underwater Sensor Networks,IEEE Trans. Mobile Computing 13(3):582-595,10.1109/TMC.2013.13,IEEE,P0,paywall,[13]-liu-2014-da-sync.pdf,https://ieeexplore.ieee.org/document/6412670/
[14],"Zhou, Wang, Nie, Qiao",2018,DE-Sync: A Doppler-Enhanced Time Synchronization for Mobile Underwater Sensor Networks,MDPI Sensors 18(6):1710,10.3390/s18061710,MDPI,P0,open access (bot-blocked),[14]-zhou-2018-de-sync.pdf,https://www.mdpi.com/1424-8220/18/6/1710
[15],"Zhou, Wang, Han, Qiao, Sun, Niaz",2019,APE-Sync: An Adaptive Power Efficient Time Synchronization for Mobile Underwater Sensor Networks,IEEE Access 7:52379-52389,10.1109/ACCESS.2019.2911288,IEEE Access,P0,open access (bot-blocked),[15]-zhou-2019-ape-sync.pdf,https://ieeexplore.ieee.org/document/8694779/
[16],"Tian, Jiang, Liu, Wang, Liu, Wang",2009,Tri-Message: A Lightweight Time Synchronization Protocol for High Latency and Resource-Constrained Networks,IEEE ICC 09 pp.1-5,10.1109/ICC.2009.5199544,IEEE,P0,ACQUIRED,[16]-tian-2009-tri-message.pdf,https://cs.nju.edu.cn/_upload/tpl/01/65/357/template357/lunwen/trimsgICC09.pdf
[17],"Ouyang, Han, Wang, He",2024,Underwater Network Time Synchronization Method Based on Probabilistic Graphical Models,MDPI J. Mar. Sci. Eng. 12(11):2079,10.3390/jmse12112079,MDPI,P1,open access (bot-blocked),[17]-ouyang-2024-pgm-sync.pdf,https://www.mdpi.com/2077-1312/12/11/2079
[18],"Sun, Ouyang, Han",2024,DC-Sync: A Doppler-Compensation Time-Synchronization Scheme for Complex Mobile Underwater Sensor Networks,IEEE Access 12:94643-94653,10.1109/ACCESS.2024.3424706,IEEE Access,P1,open access (bot-blocked),[18]-sun-2024-dc-sync.pdf,https://ieeexplore.ieee.org/document/10593059/
[19],"Wang, Su, Fan",2024,SFDM: A time-synchronization-free detection mechanism for mobile underwater acoustic sensor networks,Elsevier Ocean Engineering 311:118983,10.1016/j.oceaneng.2024.118983,Elsevier,P1,paywall,[19]-wang-2024-sfdm.pdf,https://www.sciencedirect.com/science/article/pii/S0029801824020894
[20],"Zhou, Zhang, Zhang, Nie, Wang, Liu",2022,Underwater Acoustic Spread Spectrum Communications Based on Space-Time Cluster Processing,J. Electron. Inf. Technol. (Chinese) 44(7):2006-2013,10.11999/JEIT211273,Chinese-journal,P2,Chinese only,[20]-zhou-2022-st-cluster-dsss.pdf,https://jeit.ac.cn/cn/article/doi/10.11999/JEIT211273
[21],"Li, Liu, Jia, Huang, Xiao, Guo",2021,A Study of Mapping Sequences Spread Spectrum Underwater Acoustic Communications Using Gold Codes,ACM WUWNet 21 Shenzhen,10.1145/3491315.3491345,ACM,P1,paywall,[21]-li-2021-gold-codes-uwa.pdf,https://dl.acm.org/doi/10.1145/3491315.3491345
[22],"Hu, Han, Liu, Zhang, Zhang",2022,Combination Differential Direct Sequence Spread Spectrum Algorithm for Mobile Underwater Acoustic Communication,J. Electron. Inf. Technol. (Chinese) 44(7):2024-2034,10.11999/JEIT211281,Chinese-journal,P2,Chinese only,[22]-hu-2022-combined-dsss.pdf,https://jeit.ac.cn/cn/article/doi/10.11999/JEIT211281
[23],"Shu, Wang, Wang, Yang",2016,Chaotic direct sequence spread spectrum for secure underwater acoustic communication,Elsevier Applied Acoustics 104:57-66,10.1016/j.apacoust.2015.10.015,Elsevier,P1,paywall,[23]-shu-2016-chaotic-dsss.pdf,https://www.sciencedirect.com/science/article/pii/S0003682X15003291
[24],"Du, Xiong, Wang",2019,Research on mobile spread spectrum underwater acoustic communication,IEEE ICSPCC 19 Dalian,10.1109/ICSPCC46631.2019.8960749,IEEE,P1,paywall,[24]-du-2019-mobile-dsss.pdf,https://ieeexplore.ieee.org/document/8960749/
[25],"Lasassmeh, Conrad",2010,Time Synchronization in Wireless Sensor Networks: A Survey,IEEE SoutheastCon 10 pp.242-245,10.1109/SECON.2010.5453878,IEEE,P2,paywall,[25]-lasassmeh-2010-sync-survey.pdf,https://ieeexplore.ieee.org/document/5453878/
[26],"Yang, Yang, Ho",2016,Moving Target Localization in Multistatic Sonar by Differential Delays and Doppler Shifts,IEEE Signal Processing Letters 23(9):1160-1164,10.1109/LSP.2016.2587319,IEEE,P1,paywall,[26]-yang-2016-multistatic-target.pdf,https://ieeexplore.ieee.org/document/7505946/
[27],"Xiao, Xuan, Wu",2018,Research on an Improved Chaotic Spread Spectrum Sequence,IEEE ICCCBDA 18 Chengdu pp.420-423,10.1109/ICCCBDA.2018.8386556,IEEE,P0,paywall,[27]-xiao-2018-improved-chaotic.pdf,https://ieeexplore.ieee.org/document/8386556/
[28],"Ra, Youn, Kim",2022,High-Reliability Underwater Acoustic Communication Using an M-ary Cyclic Spread Spectrum,MDPI Electronics 11(11):1698,10.3390/electronics11111698,MDPI,P2,open access (bot-blocked),[28]-ra-2022-mary-cyclic.pdf,https://www.mdpi.com/2079-9292/11/11/1698
[29],"Sun, Zhou, Mou",2007,Design and Performance Analysis of Multi-user Chaotic Sequence Spread-Spectrum Communication System,J. Electron. Inf. Technol. (Chinese) 29(10):2436-2440,n/a,Chinese-journal,P2,Chinese only,[29]-sun-2007-multiuser-chaotic.pdf,https://jeit.ac.cn/cn/article/id/2007-10-2436
[30],"Kim, Kong",2014,Design of FFT-Based TDCC for GNSS Acquisition,IEEE Trans. Wireless Communications 13(5):2798-2808,10.1109/TWC.2014.040414.130941,IEEE,P0,paywall,[30]-kim-2014-fft-tdcc-gnss.pdf,https://ieeexplore.ieee.org/document/6786060/
[31],"Narykov, Wright, García-Fernández, Maskell, Ralph",2022,Poisson multi-Bernoulli mixture filtering with an active sonar using BELLHOP simulation,IEEE FUSION 22 Linkoping,10.23919/FUSION49751.2022.9841221,IEEE,P2,paywall,[31]-narykov-2022-pmb-bellhop.pdf,https://ieeexplore.ieee.org/document/9841221/
[32],"Ghafoor, Noh, Koo",2017,OFDM-based spectrum-aware routing in underwater cognitive acoustic networks,IET Communications 11(16):2613-2620,10.1049/iet-com.2017.0203,IET / Wiley,P2,paywall,[32]-ghafoor-2017-ofdm-routing.pdf,https://digital-library.theiet.org/doi/10.1049/iet-com.2017.0203
[33],"Lin, Feng, Wen, Wang, Lv, Zhao, Han",2016,MM-sync: A Mobility Built-in Model Based Time Synchronization Approach for Underwater Sensor Networks,IEEE BDCloud-SocialCom-SustainCom 16 Atlanta pp.338-345,10.1109/BDCloud-SocialCom-SustainCom.2016.59,IEEE,P1,paywall,[33]-lin-2016-mm-sync.pdf,https://ieeexplore.ieee.org/document/7723673/
[34],"Liu, Wang, Peng, Zuba, Cui, Zhou",2011,TSMU: A Time Synchronization Scheme for Mobile Underwater Sensor Networks,IEEE GLOBECOM 11 Houston,10.1109/GLOCOM.2011.6133816,IEEE,P1,paywall,[34]-liu-2011-tsmu.pdf,https://ieeexplore.ieee.org/document/6133816/
